,id,neighbourhood_group,host_name,host_id,minimum_price,z_value_prices,z_interpretation
361,100186,Brooklyn,Mi,526805,910,-0.03171964512856365,Average price
362,101053,Brooklyn,Lee And Tara,530032,300,-0.08339510033515946,Average price
363,102995,Manhattan,Chas,178043,4452,0.2683368505136697,Higher price average
364,103161,Brooklyn,Ade,465278,570,-0.06052235786666624,Average price
365,103311,Brooklyn,The Box House Hotel,417504,1797,0.04342154957348632,Average price
366,103806,Manhattan,Jason,251176,1245,-0.00334050169543317,Average price
367,105469,Queens,Michelle,547386,1890,0.05129993864596732,Average price
368,105510,Brooklyn,Alex,322716,3000,0.1453323243497728,Higher price average
369,106363,Manhattan,Alicia,551055,180,-0.09356076365448979,Average price
370,106647,Brooklyn,Olivia,552679,270,-0.08593651616499204,Average price
371,107630,Brooklyn,Maya,306739,525,-0.06433448161141511,Average price
372,107895,Manhattan,Kai,3088389,600,-0.057980942036833655,Average price
373,110739,Manhattan,Driss,568568,3042,0.14889030651153842,Higher price average
374,112100,Brooklyn,Marine,572527,1155,-0.010964749184930912,Average price
375,112304,Manhattan,Kelli,573316,90,-0.10118501114398752,Lower price average
376,112359,Manhattan,Olivia,571952,450,-0.07068802118599656,Average price
377,112435,Brooklyn,Carol,181376,190,-0.09271362504454558,Average price
378,113265,Brooklyn,Anthony,314582,110,-0.09949073392409914,Average price
379,113945,Manhattan,Natalia,275582,850,-0.036802476788228816,Average price
380,114123,Brooklyn,Susi,579495,2786,0.12720355809696707,Higher price average
381,114229,Manhattan,Tony,314941,211,-0.09093463396366279,Average price
382,114969,Manhattan,Andrey,582598,870,-0.03510819956834043,Average price
383,115535,Manhattan,Jane,567187,910,-0.03171964512856365,Average price
384,115678,Manhattan,Will,127772,99,-0.10042258639503775,Lower price average
385,115748,Queens,Lilly,585166,440,-0.07153515979594074,Average price
386,116940,Brooklyn,Marylyn,209460,240,-0.08847793199482462,Average price
