,Sale Price,Building Class At Time Of Sale,City,Neighbourhood,z_value_prices
425,955000.0,R4,manhattan,Chelsea / West Village,-0.09846858807379141
426,850000.0,R4,manhattan,Chelsea / West Village,-0.10338919030599923
428,750000.0,R4,manhattan,Chelsea / West Village,-0.10807547814619717
429,955000.0,R4,manhattan,Chelsea / West Village,-0.09846858807379141
431,715000.0,R4,manhattan,Chelsea / West Village,-0.10971567889026644
433,955000.0,R4,manhattan,Chelsea / West Village,-0.09846858807379141
434,890000.0,R4,manhattan,Chelsea / West Village,-0.10151467516992006
435,950000.0,R4,manhattan,Chelsea / West Village,-0.09870290246580131
436,1150000.0,R4,manhattan,Chelsea / West Village,-0.08933032678540544
437,999000.0,R4,manhattan,Chelsea / West Village,-0.09640662142410432
438,965000.0,R4,manhattan,Chelsea / West Village,-0.09799995928977162
439,2000000.0,R4,manhattan,Chelsea / West Village,-0.04949688014372301
440,949000.0,R4,manhattan,Chelsea / West Village,-0.09874976534420328
441,815000.0,R4,manhattan,Chelsea / West Village,-0.10502939105006852
442,1070022.0,R4,manhattan,Chelsea / West Village,-0.09307832607423894
443,1850000.0,R4,manhattan,Chelsea / West Village,-0.05652631190401992
444,10700000.0,R4,manhattan,Chelsea / West Village,0.3582101619534971
445,1990000.0,R4,manhattan,Chelsea / Hudson Yards,-0.04996550892774281
446,2250000.0,R4,manhattan,Chelsea / Hudson Yards,-0.037781160543228186
447,2275000.0,R4,manhattan,Chelsea / Hudson Yards,-0.0366095885831787
448,2400000.0,R4,manhattan,Chelsea / Hudson Yards,-0.030751728782931285
449,2550000.0,R4,manhattan,Chelsea / Hudson Yards,-0.023722297022634387
450,1700000.0,R4,manhattan,Chelsea / Hudson Yards,-0.06355574366431681
451,1035000.0,R4,manhattan,Chelsea / Hudson Yards,-0.09471955780163306
454,1125000.0,R4,manhattan,Chelsea / Hudson Yards,-0.09050189874545492
455,2100000.0,R4,manhattan,Chelsea / Hudson Yards,-0.04481059230352508
